"","W","p_val","q_val","diff_abn"
"Bacteria_Proteobacteria_Gammaproteobacteria_SAR86 clade_uncultured bacterium",6.47344716926981,0,0,TRUE
"Woeseiaceae",11.4441611224875,0,0,TRUE
"Unclassified Gammaproteobacteria",22.0060340470882,5.43589287473653e-06,5.04055521111933e-05,TRUE
"Vibrionaceae",0.692154648926528,0,0,TRUE
"Xanthomonadaceae",1.27377574459807,0,0,TRUE
"Unclassified Proteobacteria",2.64625264228544,0,0,TRUE
"Spirochaetaceae",0.253234318317619,0.770386308258259,0.844939821960671,FALSE
"Unclassified Bacteria",17.3714860333407,0,0,TRUE
"Puniceicoccaceae",0.0524433679132043,0,0,TRUE
"DEV007",5.23154741919075,0,0,TRUE
"Rubritaleaceae",12.0053992104407,0,0,TRUE
"Unclassified Unassigned",10.0294936085434,0.00308106767616872,0.0112238893917575,TRUE
