#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g13332.t1      -          PF13927_seed         -            2.2e-32  112.2   0.3     1e-12   49.3   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g27237.t1      -          PF13927_seed         -            2.2e-32  112.2   0.8   6.6e-10   40.2   0.2   3.4   3   0   0   3   3   3   3 -
anno1.g829.t1        -          PF13927_seed         -            2.3e-32  112.2   0.1   3.8e-12   47.4   0.0   4.7   5   1   0   5   5   4   3 -
anno1.g16828.t1      -          PF13927_seed         -            4.6e-32  111.2  12.7   3.4e-16   60.4   0.1   4.9   5   1   0   5   5   3   3 -
anno1.g32659.t1      -          PF13927_seed         -            1.1e-31  110.0   8.2   6.5e-13   49.9   0.2   3.3   3   0   0   3   3   3   3 -
anno1.g7694.t3       -          PF13927_seed         -            2.4e-31  108.9   5.7   1.1e-11   46.0   0.0   3.9   3   0   0   3   3   3   3 -
anno1.g16917.t1      -          PF13927_seed         -            5.7e-31  107.7   1.4   4.8e-15   56.7   1.6   2.6   2   0   0   2   2   2   2 -
anno1.g14832.t1      -          PF13927_seed         -            6.9e-31  107.5   6.7   9.4e-14   52.5   0.3   3.6   3   0   0   3   3   3   2 -
anno1.g3889.t1       -          PF13927_seed         -            8.6e-31  107.2   9.2   7.1e-15   56.2   0.2   4.1   3   1   0   3   3   3   3 -
anno1.g23044.t1      -          PF13927_seed         -            9.8e-31  107.0   0.0   8.9e-14   52.6   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g15524.t1      -          PF13927_seed         -            1.1e-30  106.8   0.3   8.5e-15   55.9   0.1   2.7   2   0   0   2   2   2   2 -
anno1.g20830.t1      -          PF13927_seed         -            1.7e-30  106.2   0.3   4.2e-14   53.7   0.1   2.8   2   0   0   2   2   2   2 -
anno1.g17300.t1      -          PF13927_seed         -              2e-30  106.0   1.4   3.6e-14   53.9   0.1   2.2   2   0   0   2   2   2   2 -
anno1.g15738.t1      -          PF13927_seed         -            2.2e-30  105.8   2.1   1.5e-13   51.9   0.3   3.5   2   0   0   2   2   2   2 -
anno1.g24225.t1      -          PF13927_seed         -              3e-30  105.4   6.4   3.1e-10   41.3   0.1   4.4   4   0   0   4   4   4   4 -
anno1.g16065.t1      -          PF13927_seed         -            4.8e-30  104.8   1.4   8.6e-16   59.1   0.1   2.2   2   0   0   2   2   2   2 -
anno1.g17143.t1      -          PF13927_seed         -            8.5e-30  104.0   0.0   9.1e-15   55.8   0.0   2.3   2   0   0   2   2   2   2 -
anno1.g30084.t1      -          PF13927_seed         -            1.1e-29  103.6   4.3   6.4e-11   43.5   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g14963.t1      -          PF13927_seed         -            1.2e-29  103.4   6.5   4.9e-17   63.1   1.1   2.9   2   0   0   2   2   2   2 -
anno1.g10694.t1      -          PF13927_seed         -            1.5e-29  103.2   3.8   6.4e-11   43.5   0.0   3.4   3   0   0   3   3   3   3 -
anno1.g17082.t1      -          PF13927_seed         -            1.6e-29  103.1   0.1   2.2e-16   61.0   0.1   2.9   2   0   0   2   2   2   2 -
anno1.g16576.t1      -          PF13927_seed         -            4.1e-29  101.8   2.7   1.9e-16   61.2   0.2   2.8   3   0   0   3   3   2   2 -
anno1.g15689.t1      -          PF13927_seed         -            8.7e-29  100.7   1.1   2.1e-14   54.7   0.3   2.5   2   0   0   2   2   2   2 -
anno1.g6856.t1       -          PF13927_seed         -            1.1e-28  100.4   0.1   2.4e-16   60.9   0.0   2.4   2   0   0   2   2   2   2 -
anno1.g30610.t1      -          PF13927_seed         -            1.2e-28  100.2   1.1   1.3e-13   52.2   0.0   3.1   2   1   0   2   2   2   2 -
anno1.g25360.t1      -          PF13927_seed         -            1.5e-28  100.0   4.0     8e-12   46.4   0.1   3.5   3   0   0   3   3   3   3 -
anno1.g16975.t1      -          PF13927_seed         -            2.2e-28   99.5   7.4   2.8e-15   57.5   0.3   3.5   3   0   0   3   3   3   2 -
anno1.g28788.t1      -          PF13927_seed         -            2.8e-28   99.1  15.2     7e-07   30.5   1.4   5.3   5   0   0   5   5   4   4 -
anno1.g17844.t1      -          PF13927_seed         -            4.4e-28   98.5  13.5     5e-14   53.4   0.0   4.9   4   1   1   5   5   2   2 -
anno1.g13999.t1      -          PF13927_seed         -            1.1e-27   97.2   1.5   3.3e-13   50.8   0.1   2.8   3   0   0   3   3   2   2 -
anno1.g13817.t1      -          PF13927_seed         -            1.9e-27   96.4  11.1   3.1e-12   47.7   2.1   3.5   3   0   0   3   3   3   3 -
anno1.g15808.t1      -          PF13927_seed         -            3.1e-27   95.7   0.2   5.7e-16   59.7   0.1   2.4   2   0   0   2   2   2   2 -
anno1.g16216.t1      -          PF13927_seed         -            3.6e-27   95.5   0.3   4.8e-12   47.1   0.1   2.2   2   0   0   2   2   2   2 -
anno1.g18199.t2      -          PF13927_seed         -            5.8e-27   94.9   3.7   2.5e-13   51.2   0.1   4.7   4   0   0   4   4   3   2 -
anno1.g25565.t1      -          PF13927_seed         -            1.1e-26   93.9   9.8   4.7e-11   43.9   1.0   4.2   3   1   0   3   3   3   3 -
