#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g17773.t1      -          PF13519_full         -              5e-52  178.2   2.8     3e-15   57.8   0.0   4.2   4   0   0   4   4   4   4 -
anno1.g4537.t1       -          PF13519_full         -            5.9e-51  174.7   0.2   5.3e-10   40.6   0.0   5.3   5   0   0   5   5   5   5 -
anno1.g8193.t1       -          PF13519_full         -            1.9e-48  166.5   0.0   1.8e-12   48.7   0.0   4.2   4   0   0   4   4   4   4 -
anno1.g22869.t1      -          PF13519_full         -            7.9e-47  161.2   0.0   3.2e-16   61.0   0.0   3.2   3   0   0   3   3   3   3 -
anno1.g14571.t1      -          PF13519_full         -            7.3e-42  144.9   2.6   1.1e-11   46.1   0.0   5.4   4   1   1   5   5   4   4 -
anno1.g1440.t1       -          PF13519_full         -            2.9e-39  136.4   0.1   5.1e-14   53.8   0.0   3.2   2   1   1   3   3   3   3 -
anno1.g29672.t1      -          PF13519_full         -            4.2e-32  113.0  13.9   2.5e-09   38.4   0.2   5.3   4   1   1   5   5   5   5 -
anno1.g15184.t1      -          PF13519_full         -            7.6e-27   95.8   1.6   4.4e-15   57.2   0.2   2.4   2   0   0   2   2   2   2 -
anno1.g13259.t1      -          PF13519_full         -            3.5e-25   90.3   0.0   4.5e-09   37.5   0.0   3.1   3   0   0   3   3   3   3 -
anno1.g29671.t1      -          PF13519_full         -            4.7e-25   89.9  74.0   2.6e-08   35.1   0.1   8.7   5   3   6  11  11   5   5 -
anno1.g2001.t1       -          PF13519_full         -              9e-25   89.0   0.0   4.6e-08   34.3   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g13276.t1      -          PF13519_full         -            3.6e-24   87.0   0.0   1.5e-11   45.7   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g4985.t1       -          PF13519_full         -            2.7e-23   84.1   0.0   4.6e-23   83.4   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g24761.t1      -          PF13519_full         -            8.5e-23   82.5   0.7     4e-06   27.9   0.0   3.8   3   0   0   3   3   3   3 -
anno1.g13278.t2      -          PF13519_full         -            1.6e-22   81.6   0.0   3.8e-11   44.3   0.0   2.3   2   0   0   2   2   2   2 -
anno1.g33187.t1      -          PF13519_full         -            4.1e-22   80.3   0.0   7.7e-22   79.4   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g2002.t1       -          PF13519_full         -            8.1e-22   79.3   0.0   2.8e-14   54.6   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g33189.t1      -          PF13519_full         -            4.3e-21   76.9   2.1   7.8e-12   46.6   0.4   3.4   2   1   0   2   2   2   2 -
anno1.g33180.t2      -          PF13519_full         -            6.6e-21   76.3   0.0   1.2e-20   75.5   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g33131.t1      -          PF13519_full         -            7.1e-21   76.2   0.0   1.2e-20   75.5   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g33183.t1      -          PF13519_full         -              1e-20   75.7   0.0   1.8e-20   74.9   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g27910.t1      -          PF13519_full         -            1.1e-20   75.5   0.2   1.6e-05   26.0   0.4   3.4   3   0   0   3   3   3   3 -
anno1.g28881.t1      -          PF13519_full         -            4.9e-19   70.2   0.1     2e-13   51.8   0.1   2.9   3   0   0   3   3   2   2 -
anno1.g7867.t1       -          PF13519_full         -            1.2e-18   68.9   0.1     2e-18   68.2   0.1   1.3   1   0   0   1   1   1   1 -
anno1.g15801.t1      -          PF13519_full         -            1.2e-18   68.9   2.5   1.9e-08   35.5   0.1   4.3   4   0   0   4   4   4   2 -
anno1.g36697.t1      -          PF13519_full         -            1.5e-18   68.6   0.0   2.1e-18   68.1   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g2301.t1       -          PF13519_full         -            8.9e-18   66.1   0.0   1.5e-08   35.9   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g37201.t1      -          PF13519_full         -            2.5e-17   64.6   0.0   4.9e-17   63.6   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g1045.t1       -          PF13519_full         -            4.3e-17   63.8   0.1   6.4e-17   63.3   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g10018.t1      -          PF13519_full         -            4.5e-17   63.7   0.1   1.4e-08   35.9   0.1   3.4   3   0   0   3   3   3   2 -
anno1.g15161.t1      -          PF13519_full         -            6.9e-17   63.2   0.0   1.1e-16   62.4   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g5975.t2       -          PF13519_full         -            1.6e-16   62.0   0.0   2.9e-16   61.1   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g33179.t1      -          PF13519_full         -            1.9e-16   61.7   0.0   6.9e-16   59.9   0.0   1.9   1   0   0   1   1   1   1 -
anno1.g16185.t1      -          PF13519_full         -            2.3e-16   61.4   8.7   5.6e-09   37.2   0.7   3.7   2   1   0   2   2   2   2 -
anno1.g16734.t1      -          PF13519_full         -            3.1e-16   61.0   0.1   4.9e-16   60.4   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g2293.t1       -          PF13519_full         -            3.3e-16   60.9   0.1   4.5e-16   60.5   0.1   1.2   1   0   0   1   1   1   1 -
anno1.g15424.t1      -          PF13519_full         -            4.7e-16   60.4   0.0     7e-16   59.9   0.0   1.2   1   0   0   1   1   1   1 -
anno1.g26288.t1      -          PF13519_full         -            9.7e-16   59.4   0.0   2.3e-08   35.2   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g26462.t2      -          PF13519_full         -            1.4e-15   58.9   0.0     2e-15   58.4   0.0   1.1   1   0   0   1   1   1   1 -
anno1.g13260.t2      -          PF13519_full         -            3.9e-15   57.4   0.0   1.4e-06   29.4   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g2003.t1       -          PF13519_full         -            5.4e-15   57.0   0.0     1e-09   39.6   0.0   2.3   2   0   0   2   2   2   2 -
anno1.g30916.t1      -          PF13519_full         -            7.2e-15   56.5   0.3   1.3e-14   55.6   0.3   1.3   1   0   0   1   1   1   1 -
anno1.g5060.t1       -          PF13519_full         -            1.5e-14   55.5   0.1   3.5e-14   54.3   0.1   1.6   1   0   0   1   1   1   1 -
anno1.g1046.t1       -          PF13519_full         -            1.6e-14   55.4   0.1   2.5e-14   54.8   0.1   1.3   1   0   0   1   1   1   1 -
