#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g3268.t1       -          PF13519_full         -            1.2e-24   88.8   0.0   2.1e-24   87.9   0.0   1.4   1   0   0   1   1   1   1 -
anno1.g42926.t2      -          PF13519_full         -            9.1e-24   85.9   0.0   1.5e-13   52.4   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g34781.t1      -          PF13519_full         -              2e-23   84.8   0.0   3.5e-23   84.0   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g2112.t1       -          PF13519_full         -            3.4e-23   84.0   0.0   8.7e-08   33.5   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g36397.t1      -          PF13519_full         -            4.1e-23   83.7   0.1   6.9e-23   83.0   0.1   1.3   1   0   0   1   1   1   1 -
anno1.g2114.t1       -          PF13519_full         -            8.9e-23   82.6   0.1   3.4e-08   34.9   0.0   3.3   3   0   0   3   3   3   3 -
anno1.g41995.t2      -          PF13519_full         -            5.8e-22   80.0   0.1   1.3e-09   39.5   0.1   2.2   2   0   0   2   2   2   2 -
anno1.g5363.t1       -          PF13519_full         -            2.4e-21   77.9   0.0   3.9e-21   77.3   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g5366.t1       -          PF13519_full         -            7.6e-21   76.3   0.1   1.5e-20   75.3   0.1   1.4   1   0   0   1   1   1   1 -
anno1.g5807.t1       -          PF13519_full         -            2.7e-20   74.5   0.4   3.8e-07   31.4   0.1   3.5   3   0   0   3   3   3   3 -
anno1.g24393.t1      -          PF13519_full         -            4.1e-19   70.6   0.2   2.4e-06   28.8   0.0   4.4   4   0   0   4   4   4   4 -
anno1.g5356.t1       -          PF13519_full         -            9.8e-19   69.4   0.0   1.7e-18   68.6   0.0   1.3   1   0   0   1   1   1   1 -
anno1.g16134.t2      -          PF13519_full         -            1.2e-18   69.1   0.0   1.6e-09   39.2   0.0   2.2   2   0   0   2   2   2   2 -
anno1.g27342.t1      -          PF13519_full         -            4.5e-18   67.2   0.1   4.5e-18   67.2   0.1   2.0   2   0   0   2   2   1   1 -
anno1.g29891.t1      -          PF13519_full         -              1e-17   66.0   3.1     3e-08   35.1   0.3   2.3   2   0   0   2   2   2   2 -
anno1.g24636.t1      -          PF13519_full         -            1.6e-17   65.5   0.3   3.3e-17   64.4   0.3   1.4   1   0   0   1   1   1   1 -
