#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
anno1.g31517.t1      -          PF00047_full         -            3.3e-57  194.0  17.4   1.7e-11   45.0   0.1   8.6   2   2   5   8   8   8   6 -
anno1.g23625.t1      -          PF00047_full         -            4.4e-57  193.5  48.5   4.8e-13   50.0   0.3   8.7   1   1   7   8   8   8   7 -
anno1.g6540.t1       -          PF00047_full         -            4.8e-56  190.2  18.0   1.9e-12   48.1   0.1   7.1   3   1   4   7   7   7   5 -
anno1.g31140.t1      -          PF00047_full         -            1.3e-53  182.2  22.5   3.4e-12   47.3   0.2   5.2   1   1   4   5   5   5   5 -
anno1.g22344.t1      -          PF00047_full         -            3.1e-51  174.5  29.5   7.3e-16   59.2   0.2   5.4   3   1   3   6   6   4   4 -
anno1.g7727.t1       -          PF00047_full         -            5.7e-51  173.6   7.5   9.7e-16   58.8   0.1   6.5   3   3   3   6   6   6   6 -
anno1.g19890.t1      -          PF00047_full         -            1.4e-49  169.1   0.1   9.3e-15   55.6   0.1   4.6   1   1   3   4   4   4   4 -
anno1.g8324.t1       -          PF00047_full         -            8.3e-49  166.6   6.0   2.6e-15   57.4   0.1   6.4   2   2   4   6   6   6   5 -
anno1.g7033.t1       -          PF00047_full         -            1.2e-48  166.0   8.0   1.1e-11   45.7   0.0   4.5   1   1   3   4   4   4   4 -
anno1.g7319.t1       -          PF00047_full         -            3.2e-47  161.4   7.9   5.3e-14   53.2   0.8   4.1   1   1   3   4   4   4   4 -
anno1.g5658.t2       -          PF00047_full         -            6.2e-47  160.5   7.0   9.5e-12   45.8   0.2   6.4   3   1   4   7   7   5   4 -
anno1.g8169.t1       -          PF00047_full         -            2.3e-46  158.6  21.5   1.2e-11   45.5   0.0   8.8   3   2   4   7   7   7   5 -
anno1.g7724.t1       -          PF00047_full         -            3.2e-46  158.1   0.6   8.6e-11   42.7   0.0   6.5   2   2   4   6   6   6   6 -
anno1.g24451.t2      -          PF00047_full         -            8.6e-46  156.8   3.0   5.9e-15   56.3   0.2   3.6   1   1   2   3   3   3   3 -
anno1.g3423.t1       -          PF00047_full         -            1.3e-45  156.1   2.2   1.4e-12   48.6   0.1   4.4   1   1   3   4   4   4   4 -
anno1.g31137.t1      -          PF00047_full         -            4.1e-45  154.6  22.2   3.2e-13   50.6   0.4   5.5   2   1   4   6   6   5   5 -
anno1.g11139.t1      -          PF00047_full         -              2e-44  152.3  14.4   1.1e-07   32.5   0.0   6.1   2   2   3   6   6   6   6 -
anno1.g25544.t1      -          PF00047_full         -            2.1e-44  152.3   2.9   2.7e-13   50.9   0.0   4.3   3   1   1   4   4   4   4 -
anno1.g31028.t1      -          PF00047_full         -            1.9e-43  149.1   3.4   2.3e-14   54.4   0.1   3.5   1   1   2   3   3   3   3 -
anno1.g8166.t1       -          PF00047_full         -            2.9e-43  148.5   8.8   2.1e-08   34.9   0.0   7.6   2   2   5   7   7   7   6 -
anno1.g4739.t1       -          PF00047_full         -              4e-43  148.1  11.9   2.7e-13   50.9   0.9   4.1   1   1   3   4   4   4   4 -
anno1.g12789.t2      -          PF00047_full         -            8.5e-43  147.0  40.6   1.4e-12   48.5   0.6   8.0   1   1   6   7   7   7   4 -
anno1.g18488.t1      -          PF00047_full         -              3e-42  145.2   4.3   4.6e-16   59.9   0.1   3.3   1   1   2   3   3   3   3 -
anno1.g31135.t1      -          PF00047_full         -            1.1e-41  143.4  11.5   5.3e-17   62.9   0.2   4.3   2   1   3   5   5   4   3 -
anno1.g3420.t1       -          PF00047_full         -            2.4e-41  142.3   1.9   2.6e-11   44.4   0.0   4.4   1   1   3   4   4   4   4 -
anno1.g31025.t1      -          PF00047_full         -            7.6e-41  140.6   3.0   1.7e-12   48.2   0.0   3.4   1   1   2   3   3   3   3 -
anno1.g23623.t1      -          PF00047_full         -            8.6e-41  140.5  36.9   1.2e-11   45.5   0.2   7.0   1   1   5   6   6   6   5 -
anno1.g22410.t1      -          PF00047_full         -              1e-40  140.2   8.9     2e-12   48.0   0.6   4.2   1   1   3   4   4   4   4 -
anno1.g8322.t1       -          PF00047_full         -            1.2e-40  140.0   5.1   1.6e-17   64.6   0.7   5.2   2   2   3   5   5   5   3 -
anno1.g9908.t1       -          PF00047_full         -            3.1e-39  135.4   7.3   1.2e-11   45.4   0.0   5.2   2   1   3   5   5   5   4 -
anno1.g8167.t1       -          PF00047_full         -            3.4e-39  135.3  15.4   6.5e-08   33.3   0.0   8.5   2   2   5   7   7   7   6 -
anno1.g22036.t1      -          PF00047_full         -            1.2e-38  133.5   0.8   4.5e-15   56.6   0.0   3.3   1   1   2   3   3   3   3 -
anno1.g13388.t1      -          PF00047_full         -              4e-38  131.8  12.8   3.9e-17   63.4   0.6   3.3   1   1   2   3   3   3   3 -
anno1.g6129.t1       -          PF00047_full         -            9.3e-38  130.6   4.5   6.7e-13   49.6   0.2   3.4   2   1   1   3   3   3   3 -
anno1.g30136.t1      -          PF00047_full         -            9.5e-37  127.3  36.2   1.2e-12   48.8   1.0   5.5   1   1   4   5   5   5   5 -
