Immune_Trait,Diversity_Trait,N_Microbiomes,N_Genomes,Model_1,pVal_Model_1,Rsquared_Model_1,AIC_Model_1,AICc_Model_1,Model_2,pVal_Model_2,Rsquared_Model_2,AIC_Model_2,AICc_Model_2,Model_3,pVal_Model_3,Rsqared_Model_3,AIC_Model_3,AICc_Model_3,Model_4,pVal_Model_4,Rsquared_Model_4,AIC_Model_4,AICc_Model_4,Minimum_AIC,Minimum_AICc,PIC_Model,pVal_PIC,Rsquared_PIC
ln_asvs,TLR,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.002215904,0.006664809,58.48297358,61.91154501,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.038323598,0.550128525,51.76980506,58.43647173,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.00119163,0.706650313
gini_index,TLR,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.328911369,-0.20063437,60.56788253,63.99645396,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.055234334,0.6965851,47.43733676,54.10400343,"pgls(x_trait~y_trait, data=comp.data)",0.114234286,0.253656271,76.63830245,78.13830245,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.157935878,0.208564029,56.07153502,57.57153502,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.000180478,0.804946112
ln_asvs_mucus,TIR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.22206324,-0.545086696,78.60470649,82.03327792,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",7.72E-10,0.66084056,63.92469172,70.59135839,"pgls(x_trait~y_trait, data=comp.data)",0.22206324,0.160510215,90.30877594,91.80877594,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.174750902,0.194323846,69.44202082,70.94202082,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.795752852,0.007837906
ln_asvs_mucus,TIR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.001534001,0.416677982,67.88965136,71.31822278,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.180961849,0.692160397,62.85888583,69.5255525,"pgls(x_trait~y_trait, data=comp.data)",0.001534001,0.690338491,79.33831628,80.83831628,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.173204692,0.195576575,69.42490384,70.92490384,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.795752852,0.007837906
gini_index_mucus,TIR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.001534001,0.416677982,67.88965136,71.31822278,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.180961849,0.692160397,62.85888583,69.5255525,"pgls(x_trait~y_trait, data=comp.data)",0.001534001,0.690338491,79.33831628,80.83831628,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.173204692,0.195576575,69.42490384,70.92490384,Model_2_AIC,Model_2_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.109152324,0.25990628
ln_asvs_mucus,IL1R,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.127561187,-0.882281263,67.60182816,71.03039959,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",7.78E-07,0.58004825,53.1007289,59.76739557,"pgls(x_trait~y_trait, data=comp.data)",0.127561187,0.23840529,76.86081355,78.36081355,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.203138364,0.173079645,56.55398847,58.05398847,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.10860603,0.260593874
gini_index_mucus,IL1R,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.026500427,-0.252881613,63.12440698,66.5529784,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.498546156,0.569439348,53.37516104,60.04182771,"pgls(x_trait~y_trait, data=comp.data)",0.026500427,0.438186209,73.51412871,75.01412871,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.449278698,0.065003146,57.90517105,59.40517105,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.032290448,0.415418781
ln_asvs_mucus,TLR,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.059658897,-0.361140656,61.94808561,65.37665704,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.474125139,0.426372996,54.44299684,61.10966351,"pgls(x_trait~y_trait, data=comp.data)",0.059658897,0.340136971,69.95068376,71.45068376,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.496193335,0.052919235,55.9584523,57.4584523,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.350810449,0.097140392
gini_index_mucus,TLR,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.13409442,-0.3164659,61.58099066,65.00956209,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.107055142,0.627934881,49.68098162,56.34764829,"pgls(x_trait~y_trait, data=comp.data)",0.13409442,0.231461145,71.62773099,73.12773099,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.126444619,0.23962509,53.92250639,55.42250639,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.025839909,0.441041934
ln_asvs_skeleton,TIR_total,183,11,"gls(x_trait~y_trait, data=trait_table, correlation=bm)",0.008289235,-0.205119582,75.87119304,79.29976447,"gls(x_trait~y_trait, data=trait_table, correlation=corPagel(1,tree.prune))",0.009219424,0.716232299,61.96323363,68.62990029,"pgls(x_trait~y_trait, data=comp.data)",0.008289235,0.557529887,83.26414067,84.76414067,"pgls(x_trait~y_trait, data=comp.data, lambda='ML')",0.009329803,0.546496898,63.12054349,64.62054349,Model_2_AIC,Model_4_AICc,lm(y_trait_positive ~ x_trait_positive -1),0.000252246,0.790221588
