Huang_Roy_tree_name	tissue_weighted_unifrac_ordination_PC1	tissue_weighted_unifrac_ordination_PC2	tissue_weighted_unifrac_ordination_PC3
ACR_Acropora	0.6209514990003874	-0.0946147676480618	-0.15967448037830176
ACR_Acropora_cytherea	0.7023957714430689	-0.11241319289220798	-0.1880556147742457
ACR_Acropora_humilis	-0.1058092543253535	-0.1692346526565715	-0.0464843468170475
ACR_Acropora_hyacinthus	0.7054128596201806	-0.20544765449351488	-0.09055988327312241
ACR_Isopora_palifera	0.04412420069255061	0.24034366445318792	-0.11749406431007543
ACR_Montipora	0.7425645589520519	-0.2655193948891529	-0.072977021013719
ACR_Montipora_aequituberculata	0.09777428204137838	0.005444411013757263	0.026520777934502276
AGA_Gardineroseris_planulata	-0.30225888706795445	-0.3688309566838549	0.09001129295476806
AGA_Pachyseris	0.4134206357326847	-0.2423971288651167	0.037967456813742785
AGA_Pavona	-0.18717090771475597	-0.1959572028001658	0.16800063556211076
AGA_Pavona_clavus	0.019697575078875557	-0.26232518762906254	0.2628330249096397
AGA_Pavona_frondifera	-0.4206766271559121	-0.0732366462689506	0.390327448663725
AGA_Pavona_varians	-0.4243092874057002	-0.12897170567025681	-0.006923487636104894
AST_Stephanocoenia_intersepta	-0.0012023403603088401	0.19043636019221272	0.23440078080698448
DEN	-0.6631565288791974	-0.3740783655074861	-0.3511975000760404
DEN_Dendrophyllia	-0.6023184250789682	-0.23641103328166935	-0.08030181807966849
DEN_Tubastraea	-0.35606587292212233	-0.17408949100251084	-0.11991328624007523
DEN_Turbinaria	-0.18634318887464418	-0.03172612506817326	0.17281448302346458
EUP_Physogyra_lichtensteini	0.632520024888605	-0.2095531947229392	-0.09633382897175403
EUP_Plerogyra	0.3409814022196195	-0.0365804137352687	-0.1764903638791501
FAV	0.37267401599688965	-0.2869851345991029	0.026825353073003724
FAV_Caulastraea_furcata	-0.4049296669824659	-0.0685581040663622	0.1738831206533625
FAV_Cyphastrea	-0.5937044913557161	-0.0924914804202888	0.2660719637652719
FAV_Cyphastrea_micropthalma	0.2002099119886013	0.9599384724172444	-0.4124681563072803
FAV_Cyphastrea_serailia	0.1697747121497967	0.9215257711133752	-0.4122208865165148
FAV_Diploastrea_heliopora	-0.3272353957270812	-0.09028942624166557	0.17624819419401264
FAV_Diploria_labyrinthiformis	-0.43103216670132016	-0.2709439558647441	-0.114066673953603
FAV_Echinopora_horrida	0.3792284249141934	-0.1128726980381524	-0.0408388776133858
FAV_Echinopora_lamellosa	0.1813385560660924	-0.12247455869598982	0.0876638006942553
FAV_Echinopora_mammiformis	0.4297351149946867	-0.17813431414527042	-0.005324094085069949
FAV_Favia_pallida	0.2651765120550717	0.27558460637979687	-0.05471406454320004
FAV_Favites	-0.2620359874377871	0.04905047393223054	0.17219243275942736
FAV_Favites_abdita	-0.14179142554591	0.23087561104183124	0.40706749385711904
FAV_Goniastrea	-0.5333841755903184	-0.2814900360004588	-0.21903513708307243
FAV_Goniastrea_edwardsi	-0.340165354160028	-0.024207378960167503	0.3149379663179792
FAV_Goniastrea_favulus	-0.5054490520688303	0.024318152826132963	0.0777323385278668
FAV_Leptastrea_transversa	-1.314936103608769	-0.3625301646243797	-0.6610595795585833
FAV_Leptoria_phrygia	-0.10014942595379406	-0.43182652343290573	0.041564047395476894
FAV_Montastraea_annularis	0.46220569826826025	-0.26037953029555655	0.02141353151939084
FAV_Montastraea_cavernosa	0.7499758759839666	-0.32422414714795256	-0.020283351067629293
FAV_Montastraea_curta	0.11074605542081672	0.4604002957601437	0.230017464814554
FAV_Montastraea_faveolata	-0.14083611627810638	-0.22050885738742154	-0.09937964108795855
FAV_Platygyra_daedalea	0.45650156114678636	-0.17380920646599102	-0.11610593002758665
FAV_Platygyra_sinensis	0.0970951791787874	0.5058663204857674	0.11920362566929153
FAV_Scolymia	-0.6063535388746726	-0.2283535852071703	-0.22247812749260987
FUN	-0.09791262697108935	0.19462276220559352	0.06844192440351259
FUN_Ctenactis_echinata	0.0349925238780419	-0.4766936359432477	-0.0975509380700342
FUN_Danafungia_scruposa	0.568905585650581	-0.3805624863605681	-0.0081535810465948
FUN_Podabacia_sinai	-0.057681663514513704	0.2789795389177619	0.1046451990826206
MER_Hydnophora_exesa	0.22580259361758825	0.6975328173704098	-0.14121700797401132
MER_Hydnophora_microconos	0.02422876116227483	0.20234978513384916	0.021607537330658667
MER_Merulina_ampliata	0.021654446812088148	0.15230321040513706	0.5590942238317651
MUS_Acanthastrea_echinata	0.34409284091712206	-0.3156952780894909	0.02500735995293212
MUS_Acanthastrea_hillae	0.7577426512025102	-0.20592412873364355	-0.08427611437725474
MUS_Lobophyllia	0.08686979791127386	0.24620970205877413	-0.05605604801028943
MUS_Lobophyllia_hemprichii	-0.06731829514612407	0.016892326292912985	-0.010392530112059171
MUS_Symphyllia	-0.3515113069001865	-0.17829663950189165	0.14953803241082494
MUS_Symphyllia_radians	0.1051819880496831	-0.4218094230220572	-0.2182466865091843
Missing: Not collected	-0.5904185341819185	-0.05235000571682405	-0.06587582492052309
OCU_Galaxea_astreata	-0.4326466907595301	0.12045684300889893	0.013393131278657757
OCU_Galaxea_fascicularis	-0.29063294726187294	-0.03693230672990964	-0.03489353150218384
PEC_Echinophyllia_aspera	-0.09482139879260153	-0.08056006169050747	-0.1312938426656883
PEC_Echinophyllia_orpheensis	-0.0760274989221894	0.1197297017412502	0.1496874984795237
PEC_Mycedium_elephantotus	0.6799918611471661	-0.3181567557839413	-0.0300560705123342
