Huang_Roy_tree_name	tissue_weighted_unifrac_ordination_PC1	tissue_weighted_unifrac_ordination_PC2	tissue_weighted_unifrac_ordination_PC3
POC_Pocillopora	0.577066855742839	-0.15647814777773766	-0.042213950706057164
POC_Pocillopora_damicornis	0.20592423348484137	0.10423560320093342	0.036247810529276656
POC_Pocillopora_verrucosa	0.4457504280145989	-0.1324192726650501	0.08012134723445069
POC_Seriatopora_hystrix	0.09761644450380187	-0.2350504855693309	-0.7097979688418741
POC_Stylophora	0.2858200312331513	0.4812666921925192	-0.2852632467357166
POR_Alveopora	-0.31497889176282606	0.34006223983572387	-0.16041766527582335
POR_Goniopora	0.6151927529402108	-0.2850688777091422	-0.14260734150433002
POR_Porites	0.027765589149232377	0.43781464006868626	-0.46599674917735234
POR_Porites_cylindrica	0.17766927000280663	0.6939764429447631	-0.27982105782084316
POR_Porites_lobata	-0.1802326233687624	0.33331716043193554	0.13266471020047724
POR_Porites_panamensis	-0.6779590077946581	0.06919865489994298	-0.08566855276388466
SID_Psammocora	-0.6529446201185144	-0.05169980217768346	0.14560511327558034
SID_Psammocora_digitata	0.1792029414537577	0.8570045551300243	-0.367871969845661
SID_Pseudosiderastrea_tayami	-0.5512217656881557	-0.12331502155498225	-3.616832881354892e-05
SID_Siderastrea_siderea	-0.6219608551156862	-0.279318838991545	-0.14128565770907028
none	0.04359017218270462	0.11247154544764189	-0.0036991241905969773
