Species	Domain	Count	Unique_Isoform	Unique_Sequence
Symbiodinium_cladeA_	PF01582	2	2	2
S_pilosum_	PF12799	53	53	46
S_goreau_	PF12799	186	186	123
S_microadriaticum_	PF00560	1	1	1
Cladocopium_	PF18837	0	0	0
B_minutum_	PF07725	0	0	0
S_microadriaticum_	PF07725	0	0	0
S_linuchea_	PF12799	81	81	70
S_microadriaticum_	PF12799	3	3	3
S_natans_	PF13927	17	17	17
S_natans_	PF18837	0	0	0
Symbiodinium_cladeA_	PF18452	0	0	0
Cladocopium_	PF12799	241	241	111
S_microadriaticum_CassKB8_	PF07725	2	2	2
S_kawagutii_	PF13519	28	28	21
S_microadriaticum_	PF13895	0	0	0
B_minutum_	PF13895	0	0	0
S_linuchea_	PF01582	2	2	2
Cladocopium_	PF13516	151	151	82
S_tridacnidorum_	PF13855	13	13	10
Symbiodinium_cladeA_	PF00047	1	1	1
B_minutum_	PF13927	2	2	2
S_tridacnidorum_	PF13927	12	12	8
B_minutum_	PF12799	147	147	90
S_necroappetens_	PF18837	0	0	0
S_microadriaticum_CassKB8_	PF18837	0	0	0
S_pilosum_	PF01582	6	6	6
Cladocopium_	PF00560	109	109	63
S_goreau_	PF18452	0	0	0
B_minutum_	PF13516	93	93	82
S_natans_	PF13855	82	82	55
S_goreau_	PF13927	1	1	1
S_microadriaticum_	PF13855	3	3	3
S_microadriaticum_	PF18452	0	0	0
Symbiodinium_cladeA_	PF13516	69	69	58
