Huang_Roy_tree_name	mucus_weighted_unifrac_ordination_PC1	mucus_weighted_unifrac_ordination_PC2	mucus_weighted_unifrac_ordination_PC3
ACR_Acropora	-0.21063701055926237	-0.38053219032861396	0.11984908738632025
ACR_Acropora_cytherea	-0.4995963977238412	0.0879125157268319	-0.0279417140449543
ACR_Acropora_humilis	-0.1836434533074419	0.2205743145486886	-0.1194483414164149
ACR_Acropora_hyacinthus	-0.3292447664919355	0.17215268848772752	-0.0030478203044474947
ACR_Isopora_palifera	0.015336468407560588	-0.2696966533885158	-0.004287938909644999
ACR_Montipora	-0.333260944755209	-0.02249131641579467	0.18510708273793142
ACR_Montipora_hispida	-0.4565355295865818	0.1488880715626803	-0.0646225681203637
AGA_Pachyseris	-0.06462171698323238	0.018876730536899273	-0.005320553090018868
AGA_Pavona	0.11280084437746928	-0.05085507378076111	0.04451874238781247
AGA_Pavona_clavus	-0.5911137758483382	0.0422280212819454	-0.0409830229959258
AGA_Pavona_varians	0.033896180005756345	0.1489797005291275	-0.04531455867651833
AST_Stephanocoenia_intersepta	0.26202459114633125	-0.04190742044784262	-0.5227427679665752
DEN	0.1662295737882011	0.046134506791624494	0.11303684190651339
DEN_Dendrophyllia	0.32594270854403384	-0.01817903015187005	0.15980439505162225
DEN_Tubastraea	0.11632092019384481	-0.11243066684614544	-0.022599136878277554
DEN_Turbinaria	0.24305937278456366	0.05016661000617127	-0.19126766303256976
EUP_Physogyra_lichtensteini	-0.29993390493817496	0.16896960422654975	0.0053427535878807384
EUP_Plerogyra	0.23249257605137685	-0.12597732951495255	0.07936654686832603
FAV	0.0394354130814051	0.3667559683141945	-0.0178028674526882
FAV_Caulastraea_furcata	0.3024774482376299	0.1972588002256897	-0.6452205535422108
FAV_Cyphastrea	0.0772487974512083	-0.2749852481755189	-0.7593391264478316
FAV_Cyphastrea_micropthalma	-0.13869170995469454	0.2184673997371277	-0.6070563180904867
FAV_Cyphastrea_serailia	0.2227175940613557	-0.3573290310428573	-0.0029760922834962
FAV_Diploastrea_heliopora	-0.0469677255699012	0.1540880193660471	0.040903089952660295
FAV_Diploria_labyrinthiformis	0.03968422433693416	0.17259080106844796	0.10687386697832894
FAV_Echinopora_horrida	-0.0530270383255767	0.2570815244524319	0.1745323551116678
FAV_Echinopora_lamellosa	-0.06294717725455397	-0.0015045907715878215	0.12012756968160805
FAV_Echinopora_mammiformis	0.17530287901613587	0.29153094819930264	0.11581904194034426
FAV_Favites	0.32795091128751136	-0.0830610781535352	-0.45738482245203294
FAV_Favites_abdita	0.33937323558120114	0.2206055686349409	-0.1785742356079167
FAV_Goniastrea	0.1289311160573307	-0.9078999346410884	-0.1620723571040538
FAV_Goniastrea_favulus	0.4756821678709125	0.1466921518236631	-0.1098641953258444
FAV_Leptoria_phrygia	-0.4402635246830795	0.0158349284765573	-0.04755378674128555
FAV_Montastraea_annularis	-0.2612508137959485	-0.004443418549455537	0.02324976302021713
FAV_Montastraea_cavernosa	-0.5430376611487179	0.06275017394017286	0.09101141659425482
FAV_Montastraea_curta	-0.5290590044774375	0.0444089205545334	-0.0288144571283182
FAV_Montastraea_faveolata	-0.28085739074367644	-0.0890074370553045	0.14325146069780909
FAV_Platygyra_daedalea	0.23791374614359634	-0.2691628481227106	0.008954969760050651
FAV_Platygyra_sinensis	0.05818178504058513	0.3202863516110102	0.19127023232629303
FAV_Scolymia	0.22580021939998546	0.027449427693103323	-0.1013207555825317
FUN	0.06463885634781147	0.00812469694678268	0.05121585683768218
FUN_Ctenactis_echinata	-0.1432005569142015	-0.1106711186742578	0.3437576556108734
FUN_Danafungia_scruposa	-0.3828414799585243	0.2098162272943522	0.0205703989409668
FUN_Lithophyllon_repanda	0.1072082875325232	0.2641670826856507	0.1544474630392891
FUN_Podabacia_sinai	0.3392550251755129	0.08599621005780085	0.2053963026487989
MER_Hydnophora_exesa	0.038002778953811406	0.01910022705188789	0.04104980463468317
MER_Hydnophora_microconos	0.11626998862225528	0.06752650842978401	0.09011971130046266
MER_Merulina_ampliata	-0.2454606899862873	0.09290376353627243	0.043466043365097795
MUS_Acanthastrea_echinata	-0.1391190254659523	-0.15419890574844577	-0.474695708344882
MUS_Acanthastrea_hillae	0.316142263984799	0.1609128192773418	0.2279421240904753
MUS_Lobophyllia	0.2535635094213003	-0.10393485982275948	0.11002161160106097
MUS_Lobophyllia_hemprichii	-0.10129699094115263	-0.09487492577382775	-0.14159472684496083
MUS_Symphyllia	0.1835628395082496	0.18747919696735105	-0.04704211614035275
MUS_Symphyllia_radians	0.5057739434712368	0.3029978588825248	0.0024860527927727
Missing: Not collected	0.36758766642429297	-0.12490078888187439	0.14163086603403807
OCU_Galaxea_astreata	0.2727937698066264	0.03690763299941276	-0.08460420591813074
OCU_Galaxea_fascicularis	-0.09060536615142593	0.10451152709879197	0.0316310221727599
PEC_Echinophyllia_aspera	0.2460765388224397	-0.24395986724590898	-0.30973241820281316
PEC_Echinophyllia_orpheensis	0.7685416430925661	-0.2139553966363056	0.0885842294343514
PEC_Mycedium_elephantotus	-0.4721273085331963	0.0444891716842362	-0.0122423413627212
PEC_Pectinia_lactuca	-0.0970820580512712	-0.2693832556708752	-0.4087279946617521
POC_Pocillopora	-0.046596711240210094	0.3286050342821235	-0.0637769767533685
POC_Pocillopora_damicornis	-0.3142361664166277	-0.03752919191717372	0.0568219390078171
POC_Pocillopora_verrucosa	-0.3494525694996667	0.09827624812522387	0.160342198104711
POC_Seriatopora_hystrix	-0.2532861578153264	0.016238506057633745	0.09552299843286975
