Huang_Roy_tree_name	skeleton_unweighted_unifrac_ordination_PC1	skeleton_unweighted_unifrac_ordination_PC2	skeleton_unweighted_unifrac_ordination_PC3
ACR_Acropora	0.20428140832553554	0.0880093371284101	0.07699790808009964
ACR_Acropora_cytherea	0.2989977699844118	0.10478011967950758	0.08896439837783647
ACR_Acropora_humilis	-0.1191644816181762	0.0048473125854199	0.0625649728199157
ACR_Acropora_hyacinthus	0.3544597786308554	0.13502813068627223	0.12568544310106383
ACR_Isopora_palifera	0.07932219202034092	-0.038224697255643654	0.013828752883828828
ACR_Montipora	0.10850061426919375	0.025498855921410952	0.0509553633092088
ACR_Montipora_aequituberculata	0.30414599615470866	0.08331579543648156	0.09735934052253403
ACR_Montipora_hispida	0.3486214801261106	0.1226239739629807	0.0972337839807456
AGA_Gardineroseris_planulata	-0.17438664889501523	-0.13226742784370743	0.012354795588895
AGA_Pachyseris	0.09281659479610466	0.06698637038701066	0.08513301667119283
AGA_Pavona	-0.03469620882196761	-0.03549583402680566	-0.033077166041426666
AGA_Pavona_clavus	0.15449104286563897	0.010549777265554025	-0.026025744313342994
AGA_Pavona_frondifera	-0.285093669120273	0.0483756514204058	-0.0216464338191462
AGA_Pavona_varians	-0.17293433764609015	0.01572561760386522	-0.06961943417940006
AST_Stephanocoenia_intersepta	0.02230430384383588	-0.03333145170561928	-0.23194954760809422
DEN	-0.1010890705664924	-0.0483697173215398	0.10847415507096285
DEN_Dendrophyllia	-0.15078112240362485	-0.0462998731772881	0.10338768080548011
DEN_Tubastraea	-0.16389406582816177	0.135683095078415	-0.0019434852759106502
DEN_Turbinaria	-0.06447445256893358	-0.005373370286323012	0.08606681877989336
EUP_Physogyra_lichtensteini	-0.0771720918601199	-0.07997333692788419	-0.013079377705335456
EUP_Plerogyra	-0.23679647030481027	0.2691159654167591	-0.0964123160581053
FAV	-0.0843621868507285	-0.12875742642552832	0.004602689244354433
FAV_Caulastraea_furcata	-0.1700622304467909	-0.1354614054790212	0.0668026187379209
FAV_Cyphastrea	-0.1247422459699503	-0.1564743041216097	-0.0504827571922359
FAV_Cyphastrea_micropthalma	0.06436247911940368	-0.09545700597910454	-0.08605960600640321
FAV_Diploastrea_heliopora	-0.14836565018670833	-0.06510276602501244	-0.04550669437856667
FAV_Diploria_labyrinthiformis	-0.023869926703319805	0.007999531667394349	-0.0586693585096328
FAV_Echinopora_horrida	0.2079825650566831	0.0131179313659549	0.0573450182709081
FAV_Echinopora_lamellosa	-0.0023973040271212335	-0.014885203829394518	0.055090979069243116
FAV_Echinopora_mammiformis	0.15457420937127772	-0.022895297751401	0.004041508299972238
FAV_Favia_pallida	-0.2016709659457553	-0.1223099601333705	0.0636187137148222
FAV_Favites	-0.16100536103740185	0.07877661900665084	-0.153051720112503
FAV_Favites_abdita	0.12652351068396936	-0.06963059560217273	-0.04261308254168755
FAV_Goniastrea	-0.21231761400424554	0.1620821863362795	-0.022878203378912595
FAV_Goniastrea_edwardsi	-0.1196164187235653	-0.1318528500606397	0.0504126958018016
FAV_Goniastrea_favulus	-0.23278715783939385	-0.0461633348476537	0.048291320373155894
FAV_Leptastrea_transversa	-0.2503086461584269	-0.0239074736327639	0.0533100935404002
FAV_Leptoria_phrygia	-0.0958168860398491	-0.04002401388830245	0.01600847369876395
FAV_Montastraea_annularis	0.25700265458317995	0.01315811331774465	-0.06417968617623718
FAV_Montastraea_cavernosa	0.3418512457137026	0.1333238845816475	0.10712266380717189
FAV_Montastraea_curta	0.028193384553963252	-0.04039730307173635	-0.019865188789394698
FAV_Montastraea_faveolata	0.1060397910598735	-0.10561759142195427	-0.20915765658386384
FAV_Platygyra_daedalea	-0.19615999093256015	0.1124265782265068	-0.1445238713900028
FAV_Platygyra_sinensis	0.1744940584030227	-0.10370548149024433	-0.2533828434872713
FAV_Scolymia	-0.19317028902177924	0.13368360562043244	-0.05739566744775925
FUN	-0.039817019558608946	0.042903990133517436	0.03585469580145551
FUN_Ctenactis_echinata	0.2341228092952776	-0.003581753492861	-0.0133212517867343
FUN_Danafungia_scruposa	0.25738285872792	0.0243633302354931	0.0057827194414481
FUN_Herpolitha_limax	0.137739763520958	-0.0041737638133366	0.0749060523396317
FUN_Podabacia_sinai	0.13905661351437335	0.0201562595258122	0.07239485825791475
MER_Hydnophora_exesa	0.0692239169185275	-0.06509748457453055	-0.04617602202930984
MER_Hydnophora_microconos	-0.21865092770463546	-0.035200925331679164	-0.015405269557964167
MER_Merulina_ampliata	0.2003575265862267	-0.0362427733796726	-0.0106582157569355
MUS_Acanthastrea_echinata	-0.14204185142143674	0.0085120362958379	0.0682185419102056
MUS_Acanthastrea_hillae	0.12746482197332293	-0.045301960243951465	0.04525125261914676
MUS_Lobophyllia	0.09035702763805692	-0.0477373501028636	-0.09178868694890492
MUS_Lobophyllia_hemprichii	-0.15055845082416644	0.030853288387581904	0.0021054049865990667
MUS_Symphyllia	-0.26375970916753366	0.05345160193328574	0.006981013487106853
MUS_Symphyllia_radians	-0.1966159403254553	0.3834038213553409	-0.1919016365658598
Missing: Not collected	0.016918607611417447	5.4070505233374914e-05	0.027510609100586503
OCU_Galaxea_astreata	-0.0935234936153307	-0.05658119093254856	-0.043365653566437165
OCU_Galaxea_fascicularis	-0.16645992594953854	0.003488714883616117	0.022418520126125135
PEC_Echinophyllia_aspera	-0.07089805551754196	0.1325397365630936	-0.0246418090141802
PEC_Echinophyllia_orpheensis	-0.2121426964287128	-0.04989106443302	0.0804907726596072
