Huang_Roy_tree_name	all_unweighted_unifrac_ordination_PC1	all_unweighted_unifrac_ordination_PC2	all_unweighted_unifrac_ordination_PC3
ACR_Acropora	-0.22824622778018835	-0.04219393594658603	0.08624693583437942
ACR_Acropora_cytherea	-0.3098683950743168	-0.11517310616653961	0.054126575435680946
ACR_Acropora_humilis	0.03369113394709327	-0.0005463668931428347	0.023630247869368265
ACR_Acropora_hyacinthus	-0.29775278389666576	-0.044734070088186945	-0.002823826303999038
ACR_Isopora_palifera	-0.01595204000909211	0.060750517265244844	0.00949017698895923
ACR_Montipora	-0.19237827660269105	-0.0515013538655294	0.0498501927907801
ACR_Montipora_aequituberculata	-0.08011671771862676	0.030079172191010726	0.0070067552405179145
ACR_Montipora_hispida	-0.27966749431859317	-0.04735371004685744	0.017565583035508998
AGA_Gardineroseris_planulata	0.18360902157366027	-0.03122479197475065	0.006737166604964125
AGA_Pachyseris	-0.10947134994740611	-4.2780771266405986e-05	0.0367293193320826
AGA_Pavona	0.06484120582124576	0.022982427946499923	-0.003134472929201288
AGA_Pavona_clavus	-0.05364772542611334	0.002218417461421837	0.01567715487243255
AGA_Pavona_frondifera	0.2662459482348336	-0.1116516582837114	0.04619872398550455
AGA_Pavona_varians	0.11185954225123125	-0.02077043743716887	-0.01160050708057746
AST_Stephanocoenia_intersepta	0.06273620938372654	0.04423471360477327	-0.06781359157965637
DEN	0.14908473333366953	-0.010994750564326722	0.0614486767075179
DEN_Dendrophyllia	0.18155737478824854	-0.03773893265687298	0.03195916176716488
DEN_Tubastraea	0.11633064989971802	-0.011366576094371876	0.012176125173138465
DEN_Turbinaria	0.07493047994171757	-0.012343433557094793	0.006891718474333899
EUP_Physogyra_lichtensteini	-0.09669935730565013	4.5055778281226366e-05	-0.031146479453316726
EUP_Plerogyra	0.09733039332980385	-0.0017761496439776152	0.0020903303114981394
FAV	-0.018598885008055857	-0.0281773252660227	0.0076560792366155775
FAV_Caulastraea_furcata	0.20614428773278884	-0.010465029288893202	-0.05465761585375276
FAV_Cyphastrea	0.07275259794259807	-0.11183854141410164	-0.06972016055321316
FAV_Cyphastrea_micropthalma	-0.041773402706973786	0.0204503582665773	-0.06306800567323306
FAV_Cyphastrea_serailia	-0.12230964552010051	0.10870365421606701	-0.1345981451837506
FAV_Diploastrea_heliopora	0.09632407765911415	-0.007072628992184922	-0.0012571880928545533
FAV_Diploria_labyrinthiformis	0.0604904597474385	-0.036180257654165174	0.07229126294081553
FAV_Echinopora_horrida	-0.0960398460559362	0.1691329158862579	0.022290570917083
FAV_Echinopora_lamellosa	-0.010051501621753361	0.034613825527639405	0.05478070312607225
FAV_Echinopora_mammiformis	-0.0838256755843746	0.08088686187079798	-0.008790755467593964
FAV_Favia_pallida	0.05167849667239646	-0.03181861727650623	-0.10541409665197825
FAV_Favites	0.15578082988592734	-0.0035828413422489287	-0.058881617386032814
FAV_Favites_abdita	-0.07592361605665779	-0.03981368577531752	-0.08625396272562944
FAV_Goniastrea	0.15965413875473294	-0.10297338029853106	-0.026145401228592345
FAV_Goniastrea_edwardsi	0.22663704003574112	-0.041751308141593835	0.004921008947396465
FAV_Goniastrea_favulus	0.21236298065911088	-0.018978665592566574	-0.025080854781195202
FAV_Leptastrea_transversa	0.2662150329994556	-0.08960521575734284	-0.0398928119085418
FAV_Leptoria_phrygia	-0.03107550814940535	-0.0461233413516311	0.0745160408064517
FAV_Montastraea_annularis	-0.163039394093135	0.020114917189249366	0.060160123887521365
FAV_Montastraea_cavernosa	-0.29095246162225463	-0.09056035102689577	0.1558777401577072
FAV_Montastraea_curta	-0.10758798346054667	-0.018212455837985673	-0.10960936471101214
FAV_Montastraea_faveolata	-0.036143266066316605	0.04471435209586807	-0.0050354308093931415
FAV_Platygyra_daedalea	0.016356322717785313	0.050738150195985265	0.046994103625180424
FAV_Platygyra_sinensis	-0.06820625446290662	0.06817783487937715	-0.13081668751619863
FAV_Scolymia	0.10282173559169865	0.004178325997675359	0.017937575053678968
FUN	0.054065302400003366	0.03923129431134121	0.008717440158228087
FUN_Ctenactis_echinata	-0.06410869678637966	0.13218700955582807	0.06735453754017261
FUN_Danafungia_scruposa	-0.09361869190050916	0.12348762513148787	0.049922111461285536
FUN_Herpolitha_limax	-0.0241257391614623	0.1469274161252987	0.1205006296655532
FUN_Lithophyllon_repanda	0.0709734593144083	0.038263951114003	0.0102090933612208
FUN_Podabacia_sinai	0.02945972454746482	0.11404379496436422	0.12081127499560984
MER_Hydnophora_exesa	-0.05119414783505072	0.07098926856077953	-0.1408423446023708
MER_Hydnophora_microconos	0.10077215743100351	0.019141150559397375	0.04711989460265356
MER_Merulina_ampliata	-0.14637070214638223	0.0655561729894212	-0.05825813612304789
MUS_Acanthastrea_echinata	0.006698872916523048	-0.06051267499473854	0.06522748623218143
MUS_Acanthastrea_hillae	-0.08362350275781615	-0.009494707414239514	0.010803550908415916
MUS_Lobophyllia	-0.012637683765351465	0.0637662449551235	-0.042300602130689036
MUS_Lobophyllia_hemprichii	0.03837753860953098	0.004999095609751449	-0.010049769869753184
MUS_Symphyllia	0.1357709992297835	-0.0749551465205623	0.03401296185726355
MUS_Symphyllia_radians	0.1123804776254891	0.027278155330564227	0.046678634157647926
Missing: Not collected	-0.05844670207762418	-0.05321773197661028	0.036288285000007345
Not applicable	0.19344358641708406	-0.05207545159891209	-0.007153399775754976
OCU_Galaxea_astreata	0.11656260755969503	0.0039649212724186325	-0.04550144004828467
OCU_Galaxea_fascicularis	0.06586388034200835	0.005005507306711754	0.03768204265000819
